month,date,crowd,time,temp
Apr,1,43140,5,
Apr,2,41969,5,
Apr,3,37588,4,
Apr,4,37628,4,
Apr,5,42086,5,
Apr,6,54091,6,
Apr,7,53957,6,
Apr,8,42354,4,
Apr,9,39110,4,
Apr,10,42151,4,
Apr,11,44101,4,
Apr,12,32049,3,
Apr,13,49023,5,
Apr,14,52709,5,
Apr,15,43492,4,
Apr,16,44073,4,
Apr,17,50998,5,
Apr,18,47426,4,
Apr,19,44977,4,
Apr,20,46215,4,
Apr,21,41695,4,
Apr,22,29791,3,
Apr,23,53283,5,
Apr,24,41695,4,
Apr,25,29791,3,
Apr,26,53283,5,
Apr,27,59324,5,
Apr,28,64570,6,
Apr,29,47054,4,
Apr,30,50585,5,
May,1,47289,5,
May,2,47736,6,
May,3,52368,6,
May,4,56366,6,
May,5,55168,6,
May,6,53928,5,
May,7,52338,5,
May,8,48954,5,
May,9,46068,5,
May,10,47737,5,
May,11,56198,6,
May,12,59444,7,
May,13,50840,5,
May,14,52324,5,
May,15,47578,5,
May,16,50106,6,
May,17,62317,7,
May,18,71394,7,
May,19,60625,6,
May,20,54295,5,
May,21,51578,5,
May,22,48263,5,
May,23,48638,5,
May,24,63582,6,
May,25,68055,6,
May,26,66034,6,
May,27,54324,5,
May,28,53345,4,
May,29,49518,5,
May,30,47608,4,
May,31,58819,5,
